Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
"No!! No! He's not married, or involved, with anyone!",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Ohh! Lucky me! Oh my God! That,,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, it's kinda sweet, sorta like, uh...",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Did Ross tell you not to let me go over    there?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh please, they're having sex.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Does that smell bother you?,disgust,0.354,0.713,0.386,0.511,0.533,Monica
"Isn t it incredible?! Monica and Chandler, gettin  married.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
No we...,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh. Oh, it s beautiful. I see it now.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Man, we gotta do something about that guy. This morning, I caught him looking into our apartment. It creeps me out! I feel like I can't do stuff!",fear,0.489,0.574,0.297,0.56,0.552,Joey
OK.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Phoebe! Rachel! It s Monica! I wonder what you could possibly need me for on such short notice!  Oh.,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Ah y'know, this building is on my paper route so I...",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Oh.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Where you going?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
No that could kill her.,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"So if everyone liked it, and you liked it, that would make this a success. Which would make you...",joy,0.354,0.713,0.386,0.511,0.533,Monica
Hello children!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Y'know, I sensed that I should stop. So we're okay?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Y'know, I try to stay positive. . .",surprise,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, you-you mean your earrings?",fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh, okay. Will you take my place?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Oh that s all right. I m still full from your homemade potato chips.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh-oh, that s a risky little game!",,0.614,0.635,0.457,0.469,0.58,Rachel
"I don't know whether it's just 'cause we're breakin' up or... what, but you have never looked so beautiful.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, I would ve except I had a big spaghetti stain on the other side.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ten years I've been waiting for a break like this Chandler, ten years! I mean, Days of Our Lives. That's actually on television.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
"So, you're not mad at me for getting fired and everything?",fear,0.489,0.574,0.297,0.56,0.552,Joey
"Good!  Cause I ve got a product report to read, it s like eight pages, I hope I don t fall asleep.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Y'know, I can't believe I'm getting my nails done!  And",,0.48,0.648,0.521,0.477,0.66,Chandler
Well that s a little crazy. Although I am y know glad to hear that you re branching out on what you look at on the Internet.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Yeah,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Thanks.  Well but this one starts now.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Just ignore them.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
What is it? Is there something fundamentally unmarriable about me?,anger,0.354,0.713,0.386,0.511,0.533,Monica
Well...I'd better get going.,fear,0.354,0.713,0.386,0.511,0.533,Monica
"No, no, no, this weekend guys!",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Please tell me you got the message!,fear,0.48,0.648,0.521,0.477,0.66,Chandler
Oh my God. Richard? Hi!,joy,0.354,0.713,0.386,0.511,0.533,Monica
Out.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Um, gram, um, can I see the pictures of my dad again?",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
Shut up!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Oh-hey-hey-hey! There you are!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Oh. Oh!,fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hey, you guys! Take a look at this!  Check this baby out, dug me a hole!",,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, but I don t see you asking any other paying customers to put on aprons.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
"No, I-I m saying I liked her.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, um, stay.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Yes. Yes, thanks for letting me use your phone... and for saving my life.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
What are you talking about? If you get married in Vegas you re married everywhere.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Wh-what?! Why?!,,0.489,0.574,0.297,0.56,0.552,Joey
Hi!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well, I can't give you a massage, because my licence has been    revoked again!",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
Minsk?,,0.375,0.6,0.31,0.356,0.545,Phoebe
Go for it.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
I find Marion s views far too progressionist.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh no! No God, definitely not jealous!",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What picture?!,,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah. Yep. Yeah. All right, well uh, I d better go.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"If you are not going to learn how to ride this bike then I m sorry, I m just gonna have to take it back.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Intense and creepy.,fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay, don t freak out. I ll go.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
4:00 A.M.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Ross, get over it! It s not like she hates you.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, if I'm willing to sleep with the casting lady.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
And now you want that money back.,,0.457,0.722,0.6,0.455,0.46,Ross
You know.... You don't know!,,0.48,0.648,0.521,0.477,0.66,Chandler
Hi Pheebs!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
I m sorry daddy.,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Why won't I be married when I'm 40?,,0.354,0.713,0.386,0.511,0.533,Monica
"I mean, I don t feel like I even have a girlfriend anymore.",anger,0.457,0.722,0.6,0.455,0.46,Ross
"Listen honey, if I'm hogging the ball too much you just jump right in there and take a couple punches because I'm telling you, this feels",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Ross, thank God.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Monica, let's go. Come on now people, woman in labor.",fear,0.457,0.722,0.6,0.455,0.46,Ross
Who was that?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Hello? Yeah, this is she. Oh! You're kidding! You're kidding! Oh thank you! I love you!",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"You went to one where you were popular, and you got to ride off Chip's motorcycle, and wear his letterman jacket. I went to one where I wore a band uniform they had to have specially made.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah-yeah, and if I get it by day I ll  Dr. Drake Remoray, but by night I ll be  Joey Trrrribbiani!",joy,0.489,0.574,0.297,0.56,0.552,Joey
Peach pit.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
You said she was bald.,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, I think that fifth shower actually got the interview off me.",joy,0.354,0.713,0.386,0.511,0.533,Monica
"What are you talking about?! Mindy, the guy is the devil! He's Satan in a smock!",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
I m the ruptured spleen.,surprise,0.48,0.648,0.521,0.477,0.66,Chandler
I don t even know the man. Okay? We re not that close. I haven t seen him in years.,disgust,0.48,0.648,0.521,0.477,0.66,Chandler
Is he not cute enough for you?,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Come on you guys, it's no big deal!",fear,0.457,0.722,0.6,0.455,0.46,Ross
You look amazing. I'm the luckiest man in the world.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Good night.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Great, people having sex, that's just what I need to see.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
It was an amazing night.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"What? No, I want to watch this. . Did your cable go out?",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Easy. Easy. You have to go to the hospital. Okay?,fear,0.457,0.722,0.6,0.455,0.46,Ross
Hey Mikey,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
I can't believe you would say that!,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay! There's only one left, three letter word, not dog but",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh please, he didn t hear it! He didn t hear it!!",fear,0.354,0.713,0.386,0.511,0.533,Monica
Hello?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Do I ever.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
I just don t think arcade games go in the beautiful guest room. The beautiful guest room is gonna be filled with antiques.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
What? Oh my God! I m gonna miss you so much!,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Well hello !,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Well, not me. But that's what's happened, and, ah, and, and there's more. We should take a trip.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"I'm not crazy, right? I mean, it was never like that.",,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, sweetie.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Yes!!! Oh!!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
I know. I feel horrible. Okay.,surprise,0.457,0.722,0.6,0.455,0.46,Ross
Uh.,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
All weekend? That's a whole lotta naked.,,0.354,0.713,0.386,0.511,0.533,Monica
A,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"That's right, I don't... But I was, I was drunk on you!",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
Like the guy on the other side of you was Smelly von Brownshirt.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"I don t have a key, they took mine to give to you.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Well,",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"You are not going to believe it! Joshua came into work today, and guess what happened?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Not at these prices.,anger,0.354,0.713,0.386,0.511,0.533,Monica
Okey-dokey!,joy,0.457,0.722,0.6,0.455,0.46,Ross
I would like to meet him. He sounds like a stand up guy.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
What? I I just figured since you re pregnant you re not gonna be seeing people.,,0.489,0.574,0.297,0.56,0.552,Joey
Hi.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Aw, I know all about Kip!",anger,0.489,0.574,0.297,0.56,0.552,Joey
No.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Are you moving out?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Julie hi! Chandler Bing, I, I guess you remember me.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Y'know, I love doing crossword puzzles with you honey!",joy,0.354,0.713,0.386,0.511,0.533,Monica
"No! No, fear of the number 13.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
That tone will not make me go any faster.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Wow! Whoa-whoa what s under the covers?,,0.614,0.635,0.457,0.469,0.58,Rachel
Anybody lose this?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"I was the James Michener of dirty talk. It was the most elaborate filth you have ever heard. I mean, there were characters, plot lines, themes, a motif... at one point there were villagers.",joy,0.457,0.722,0.6,0.455,0.46,Ross
Oh! You have a window!,,0.375,0.6,0.31,0.356,0.545,Phoebe
Remember that guy from cooking school I told you about that put cilantro with everything?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Honey, I was wondering....",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Thank you.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",anger,0.354,0.713,0.386,0.511,0.533,Monica
"This is so exciting, I haven't seen my monkey in almost a year.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Ok, I just wanna be really sure this time. Andie McDowell's the girl from",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hi!,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Wow! It's small.,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Ok, ok, How about if we split it?",fear,0.489,0.574,0.297,0.56,0.552,Joey
That's the rule.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"I just came over to drop off nothing. So that weekend kinda sucked, huh?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Okay.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Really?!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"What can I do? Look, I don't want to do anything to screw it up with Ursula.",fear,0.489,0.574,0.297,0.56,0.552,Joey
What are you doing here?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Huh? Uh,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Yuh-huh.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Hi!,joy,0.354,0.713,0.386,0.511,0.533,Monica
"That, that is funny. Can I have it back?",fear,0.48,0.648,0.521,0.477,0.66,Chandler
Is he romantic with her?,joy,0.614,0.635,0.457,0.469,0.58,Rachel
Cause it's good money! But that doesn't change the fact that    this is an evil blood sucking corporate machine!,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Since Rachel and I we re doing really, we re doing really well right now.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"Perhaps,  perhaps Dr. Chester Stock s musings on the Smiledon Californicus?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
What?,,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, yeah.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hi, honey.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"No, was my best friend. Anyway, I don't know why you're pushing for him so hard. With him out of the way as my best friend, there's a spot open.",joy,0.489,0.574,0.297,0.56,0.552,Joey
Yeah?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I made a promise that--Oh hey!,,0.457,0.722,0.6,0.455,0.46,Ross
"Y know Joey, I could teach you to sail if you want.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"But um, I don t think it s anything serious.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"No-no, they just had a big blowout over what to do with my room.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Phoebe, what are you doing?",,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, let me just get a cup of coffee.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Yeah.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ah, must ve been fairly obvious since it was the only thing left in your store.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Stating the obvious, but thank you. And it s not weird is it.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ooh, Ooh.",joy,0.457,0.722,0.6,0.455,0.46,Ross
Rachel...,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"What?  Sophie, does she have ten minutes?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
And you're gonna want him to eat his heart out so you're gonna have to look fabulous!,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
G,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh my god, we killed Bob!",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"Nobody wants to do it? All right, I ll do it myself.",disgust,0.354,0.713,0.386,0.511,0.533,Monica
"Dr. Burke? I don't think so. I mean, like, he's a grown up.",fear,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, that is so...",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Hang in there, it's gonna happen.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What about the birds?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh really? Okay, let's compare, shall we.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"One pregnant woman at a time, please! I just want you to be okay.",disgust,0.489,0.574,0.297,0.56,0.552,Joey
Hey!,joy,0.489,0.574,0.297,0.56,0.552,Joey
"No, no, thats OK. Y'know, I think I'm gonna give it a go.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Thank you so much.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hey, if Little Joey's dead, then I got no reason to live!",surprise,0.489,0.574,0.297,0.56,0.552,Joey
We all chipped in.,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Have fun. Oh wait, no, don't! I forgot I am totally against that now.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"""Y know, harm can it do if you go and put your name down?""",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Well, can you blame her?",surprise,0.457,0.722,0.6,0.455,0.46,Ross
Joey!!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Which one?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Pete, can I get you something else?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
What?!,,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
And remember how I said I was going to keep it in my purse so that if it rang I could just pick it up?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"And now, y'know, I'm like... I'm like the other woman! I feel so..",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"No-no-no-no, this is bad! It's bad! This is bad!",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, she was a cruel, cranky, old bitch! And I'm sorry she died. Did Dad say I get the dollhouse?",joy,0.354,0.713,0.386,0.511,0.533,Monica
"All right, look, you re not really gonna buy that are you? Don t you think you ve embarrassed me enough for one day?",anger,0.48,0.648,0.521,0.477,0.66,Chandler
You can?,,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, I see what's going on here.",anger,0.489,0.574,0.297,0.56,0.552,Joey
"Well, what am I going to tell Monica? She wants to wear them tonight!",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"Yeah ok, well at least I didn't let some guy into the forest of my righteous truth on the first date.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
You?!  And-and you?!,,0.489,0.574,0.297,0.56,0.552,Joey
"Do you ah, want to get her something speacial, get her flowers, get her candy, get her gum, girls love gum.",anger,0.489,0.574,0.297,0.56,0.552,Joey
What would you give to a kid if he wanted a ticket to play with?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, it was really hard.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hello.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Call her! Call her now!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Y know, we don t have to imagine.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Look Carol umm, I was, I was thinking maybe uh, maybe we can spice things up a little.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Hey, uh, I m really, really sorry about what happened in the cafeteria today.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"Whoa, whoa, so I'm guessing you didn't get the part, or... uh, Italy called and said it was hungry.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
Hi Joey! What are you doing here?,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Look, y'know what, either it does or it doesn t, and if you have to even",anger,0.614,0.635,0.457,0.469,0.58,Rachel
You got it.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, if Little Joey's dead, then I got no reason to live!",surprise,0.489,0.574,0.297,0.56,0.552,Joey
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",fear,0.48,0.648,0.521,0.477,0.66,Chandler
You like that do ya?,joy,0.457,0.722,0.6,0.455,0.46,Ross
How long have we been home?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!",,0.48,0.648,0.521,0.477,0.66,Chandler
Great.,joy,0.354,0.713,0.386,0.511,0.533,Monica
You have no idea what a nightmare this has been. This is so hard.,surprise,0.457,0.722,0.6,0.455,0.46,Ross
"I know, he s too charming, but if you two start going out, then it s just gonna make it so much harder for me to hate him.",disgust,0.354,0.713,0.386,0.511,0.533,Monica
Well let s just say,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, did you get that from the 'I Love Rachel' pizzeria?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Soo, ah, Eric, what kind of photography do ya do?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
I don't know exactly. It's-it's sorta like wrestling.,fear,0.354,0.713,0.386,0.511,0.533,Monica
You bet your ass I'm gonna fire you! Get out of my kitchen! Get out!! All right! Anybody else got a problem? How 'bout you Chuckles? You think this is funny now?,anger,0.354,0.713,0.386,0.511,0.533,Monica
No,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"So uh, hey, that uh, that wedding ring, huh? Man, that s nice!",joy,0.489,0.574,0.297,0.56,0.552,Joey
That's just great.,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, because I was",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
Oh! Here we,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, y'know Joey, you are sick!",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, excuse me, would you mind switching with me?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Look, would you guys grow up? That is the most natural beautiful thing in the world.",anger,0.457,0.722,0.6,0.455,0.46,Ross
How'd you get to that?,fear,0.489,0.574,0.297,0.56,0.552,Joey
Ross kissed me.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Dad, dad I don t want to hear about it.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"Because, he's my friend.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Here in Chelsea.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"No, Jack and the Beanstalk.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
I m leaning. This is where I lean.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Y know, they re not gonna get married anyway!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Hey!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh, you know, the writing was good, and the director is good,    and... and my co-star's good",joy,0.489,0.574,0.297,0.56,0.552,Joey
"I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",joy,0.354,0.713,0.386,0.511,0.533,Monica
Ta-da.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
What s up?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Now? Is it okay if I go out with Chip Matthews?,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, why don t you make her one of your little jokes.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Listen Phoebe...,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, did she buy it?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Uh, sweetie we've gotta go.",fear,0.457,0.722,0.6,0.455,0.46,Ross
"So, um... where did Paolo come from?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Well, that was only 'cause I used the red one to unclog the drain.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Now couldn't you just have made some sort of inappropriate joke?,anger,0.354,0.713,0.386,0.511,0.533,Monica
Hey.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
She could be out of town. Maybe she ll be gone for months.,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
What?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Excuse me?!,anger,0.354,0.713,0.386,0.511,0.533,Monica
I know!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, I ve got a question. If you had to pick one of us to date, who would it be?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"I just wanted to let you know I've changed my mind: I'm gonna    do it, I'm gonna kiss Joey.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Uh-huh!,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, hey, look. Look Ross, Ben drew a picture of you!  Huh? You're-you're a cowboy!",joy,0.354,0.713,0.386,0.511,0.533,Monica
Your a poet and don't know it.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Thanks a lot.,anger,0.457,0.722,0.6,0.455,0.46,Ross
And did you?!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Hey!,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Because he ll know what to do?  Oh my God, you re a genius!",joy,0.354,0.713,0.386,0.511,0.533,Monica
"No, yeah! The groom cannot see the bride!",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
Let s get the show on it!,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, my Father s house does that!",,0.48,0.648,0.521,0.477,0.66,Chandler
"No, I m afraid I won t be able to make love as well as him.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
Janice?,,0.48,0.648,0.521,0.477,0.66,Chandler
There is nothing wrong with Jake! Okay? He is all man! I m thinking even more than you.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Fraid so. Brown hair, green eyes...",sadness,0.354,0.713,0.386,0.511,0.533,Monica
But she just came up here!,,0.375,0.6,0.31,0.356,0.545,Phoebe
"Now, he doesn t get in until 10, so he s no problem, but his assistant, Betty, she comes in early to eat her breakfast at her desk.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Ok, got the vent open.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, sorry.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I like her.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",anger,0.457,0.722,0.6,0.455,0.46,Ross
"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Hi.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
How'd you get to that?,anger,0.489,0.574,0.297,0.56,0.552,Joey
"All right, first name on the speed dial is mom.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Ohh  I mean two best friends falling in love, how often does that happen?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
I don t have ten minutes!!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
